✅ 回款登记 | 4 select 过滤（收款编号=一汽解放汽车有限公司） | 3 行（全量 5，字段最优匹配 3）
✅ 回款登记 | 4 input 过滤（尾3位=014） | 1==1
✅ 回款登记 | 5 重置恢复全量 | 5==5
✅ 回款登记 | 6 stab 计数=统计值 | 全部:5 待核销:2 部分核销:1 已核销:2
✅ 回款登记 | 0 JS 错误 | 0
✅ 开票登记 | 1 行数=实体条数 | 6==6
✅ 开票登记 | 1b 列结构=表头列数 | th=11 行td集=[11]
✅ 开票登记 | 1c 首行逐格=实体 cells | 数据格 9 vs 期望 8
✅ 开票登记 | 2 行单号=实体键 | True
✅ 开票登记 | 3 详情弹窗标题=行单号 | 逐行实点 6 行全过
✅ 开票登记 | 4 select 过滤（发票登记号=增值税专票 13%） | 0 行（全量 6，字段最优匹配 0）
✅ 开票登记 | 5 重置恢复全量 | 6==6
✅ 开票登记 | 6 stab 计数=统计值 | 全部:6 已登记:4 已作废:6
✅ 开票登记 | 0 JS 错误 | 0
✅ 水单核销 | 1 行数=实体条数 | 4==4
✅ 水单核销 | 1b 列结构=表头列数 | th=8 行td集=[8]
✅ 水单核销 | 1c 首行逐格=实体 cells | 数据格 7 vs 期望 6
✅ 水单核销 | 2 行单号=实体键 | True
✅ 水单核销 | 3 详情弹窗标题=行单号 | 逐行实点 4 行全过
✅ 水单核销 | 0 JS 错误 | 0
✅ 采购订单 | 1 行数=实体条数 | 7==7
✅ 采购订单 | 1b 列结构=表头列数 | th=12 行td集=[12]
✅ 采购订单 | 1c 首行逐格=实体 cells | 数据格 10 vs 期望 9
✅ 采购订单 | 2 行单号=实体键 | True
✅ 采购订单 | 3 详情弹窗标题=行单号 | 逐行实点 3 行全过
✅ 采购订单 | 4 select 过滤（采购订单号=苏州联恒五金制品有限公司） | 3 行（全量 7，字段最优匹配 3）
✅ 采购订单 | 4 input 过滤（尾3位=018） | 1==1
✅ 采购订单 | 5 重置恢复全量 | 7==7
✅ 采购订单 | 6 stab 计数=统计值 | 全部:7 待审核:2 已审核:2 已完成:2 已关闭:1
✅ 采购订单 | 0 JS 错误 | 0
✅ 租入单 | 1 行数=实体条数 | 6==6
✅ 租入单 | 1b 列结构=表头列数 | th=13 行td集=[13]
✅ 租入单 | 1c 首行逐格=实体 cells | 数据格 11 vs 期望 10
✅ 租入单 | 2 行单号=实体键 | True
✅ 租入单 | 3 详情弹窗标题=行单号 | 逐行实点 5 行全过
✅ 租入单 | 4 select 过滤（租入单号=路凯包装运营（上海）有限公司） | 5 行（全量 6，字段最优匹配 5）
✅ 租入单 | 4 input 过滤（尾3位=003） | 1==1
✅ 租入单 | 5 重置恢复全量 | 6==6
✅ 租入单 | 6 stab 计数=统计值 | 全部:6 新建(草稿):1 待审核:1 履行中:1 部分归还:1 已归还:1 已终止:1
✅ 租入单 | 7 ?notes=1 pin 抽验 | data-note=3/≥2 层=开 实点打开=1
✅ 租入单 | 0 JS 错误 | 0
✅ 销售订单 | 1 行数=实体条数 | 8==8
✅ 销售订单 | 1b 列结构=表头列数 | th=12 行td集=[12]
✅ 销售订单 | 1c 首行逐格=实体 cells | 数据格 10 vs 期望 9
✅ 销售订单 | 2 行单号=实体键 | True
✅ 销售订单 | 3 详情弹窗标题=行单号 | 逐行实点 3 行全过
✅ 销售订单 | 4 select 过滤（销售订单号=一汽解放汽车有限公司） | 8 行（全量 8，字段最优匹配 3）
✅ 销售订单 | 4 input 过滤（尾3位=047） | 1==1
✅ 销售订单 | 5 重置恢复全量 | 8==8
✅ 销售订单 | 6 stab 计数=统计值 | 全部:8 待审核:2 已审核:1 待发货:2 已完成:2 已关闭:1
✅ 销售订单 | 0 JS 错误 | 0

==== batch2 验证门：88 项断言，失败 0 项 ====
