✅ 其他出库 | 1b 列结构=表头列数 | th=9 行td集=[9]
✅ 其他出库 | 1c 首行逐格=实体 cells | 数据格 7 vs 期望 6
✅ 其他出库 | 2 行单号=实体键 | True
✅ 其他出库 | 3 详情弹窗标题=行单号 | 逐行实点 5 行全过
✅ 其他出库 | 4 select 过滤（单据编号=报废） | 2 行（全量 5，字段最优匹配 2）
✅ 其他出库 | 4 input 过滤（尾3位=005） | 1==1
✅ 其他出库 | 5 重置恢复全量 | 5==5
✅ 其他出库 | 6 stab 计数=统计值 | 全部:5 待审核:1 已完成:3
✅ 其他出库 | 0 JS 错误 | 0
✅ 租入归还 | 1 行数=实体条数 | 3==3
✅ 租入归还 | 1b 列结构=表头列数 | th=11 行td集=[11]
✅ 租入归还 | 1c 首行逐格=实体 cells | 数据格 9 vs 期望 8
✅ 租入归还 | 2 行单号=实体键 | True
✅ 租入归还 | 3 详情弹窗标题=行单号 | 逐行实点 3 行全过
✅ 租入归还 | 4 select 过滤（归还单号=路凯包装运营（上海）有限公司） | 3 行（全量 3，字段最优匹配 3）
✅ 租入归还 | 4 input 过滤（尾3位=001） | 1==1
✅ 租入归还 | 5 重置恢复全量 | 3==3
✅ 租入归还 | 6 stab 计数=统计值 | 全部:3 待审核:1 已归还:2
✅ 租入归还 | 7 ?notes=1 pin 抽验 | data-note=2/≥2 层=开 实点打开=1
✅ 租入归还 | 0 JS 错误 | 0
✅ 退租入库 | 1 行数=实体条数 | 8==8
✅ 退租入库 | 1b 列结构=表头列数 | th=13 行td集=[13]
✅ 退租入库 | 1c 首行逐格=实体 cells | 数据格 11 vs 期望 10
✅ 退租入库 | 2 行单号=实体键 | True
✅ 退租入库 | 3 详情弹窗标题=行单号 | 逐行实点 7 行全过
✅ 退租入库 | 4 select 过滤（退租入库单号=一汽解放汽车有限公司） | 8 行（全量 8，字段最优匹配 4）
✅ 退租入库 | 4 input 过滤（尾3位=010） | 1==1
✅ 退租入库 | 5 重置恢复全量 | 8==8
✅ 退租入库 | 6 stab 计数=统计值 | 全部:8 待审核:3 已入库:5
✅ 退租入库 | 7 ?notes=1 pin 抽验 | data-note=4/≥3 层=开 实点打开=1
✅ 退租入库 | 0 JS 错误 | 0
✅ 盘点 | 1 行数=实体条数 | 5==5
✅ 盘点 | 1b 列结构=表头列数 | th=11 行td集=[11]
✅ 盘点 | 1c 首行逐格=实体 cells | 数据格 9 vs 期望 8
✅ 盘点 | 2 行单号=实体键 | True
✅ 盘点 | 3 详情弹窗标题=行单号 | 逐行实点 5 行全过
✅ 盘点 | 4 select 过滤（盘点单号=原料区 RA） | 0 行（全量 5，字段最优匹配 0）
✅ 盘点 | 4 input 过滤（尾3位=-03） | 1==1
✅ 盘点 | 5 重置恢复全量 | 5==5
✅ 盘点 | 6 stab 计数=统计值 | 全部:5 盘点中:1 待审核:1 已完成:3
✅ 盘点 | 0 JS 错误 | 0
✅ 库存调拨 | 1 行数=实体条数 | 3==3
✅ 库存调拨 | 1b 列结构=表头列数 | th=9 行td集=[9]
✅ 库存调拨 | 1c 首行逐格=实体 cells | 数据格 7 vs 期望 6
✅ 库存调拨 | 2 行单号=实体键 | True
✅ 库存调拨 | 3 详情弹窗标题=行单号 | 逐行实点 3 行全过
✅ 库存调拨 | 4 select 过滤（调拨单号=原料区 RA） | 1 行（全量 3，字段最优匹配 1）
✅ 库存调拨 | 4 input 过滤（尾3位=003） | 1==1
✅ 库存调拨 | 5 重置恢复全量 | 3==3
✅ 库存调拨 | 6 stab 计数=统计值 | 全部:3 待审核:1 已完成:2
✅ 库存调拨 | 0 JS 错误 | 0
✅ 库存查询 | 1 行数=实体条数 | 13==13
✅ 库存查询 | 1b 列结构=表头列数 | th=13 行td集=[13]
✅ 库存查询 | 1c 首行逐格=实体 cells | 数据格 12 vs 期望 11
✅ 库存查询 | 2 行单号=实体键 | True
✅ 库存查询 | 3 详情弹窗标题=行单号 | 逐行实点 13 行全过
✅ 库存查询 | 4 select 过滤（物料编码=在库） | 4 行（全量 13，字段最优匹配 4）
✅ 库存查询 | 4 input 过滤（尾3位=WBX） | 4==4
✅ 库存查询 | 5 重置恢复全量 | 13==13
✅ 库存查询 | 0 JS 错误 | 0

==== batch1 验证门：103 项断言，失败 0 项 ====
